,test_loss,test_prec,test_recall,test_f1,positive_rate,labeled_instances,iteration_time
600,0.027467234060168266,0.9774774774774775,0.9774774774774775,0.9774774774774775,0.4633333333333333,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",235.6803560256958
700,0.028116296976804733,0.9606126914660832,0.9887387387387387,0.974472807991121,0.46285714285714286,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",233.2344446182251
800,0.025667691603302956,0.9668141592920354,0.9842342342342343,0.9754464285714286,0.46375,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",232.24677443504333
900,0.02812981605529785,0.9604395604395605,0.9842342342342343,0.9721913236929923,0.4622222222222222,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",230.49793910980225
1000,0.027460841462016106,0.9606986899563319,0.990990990990991,0.975609756097561,0.459,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",259.5118474960327
1100,0.024104582145810127,0.9648351648351648,0.9887387387387387,0.9766407119021134,0.45545454545454545,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",265.6987533569336
1200,0.021866122260689735,0.9841986455981941,0.9819819819819819,0.9830890642615557,0.45666666666666667,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",274.2949585914612
1300,0.021539878100156784,0.9775784753363229,0.9819819819819819,0.9797752808988766,0.4546153846153846,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",278.4822473526001
1400,0.022681957110762596,0.9712389380530974,0.9887387387387387,0.9799107142857142,0.455,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",289.87561225891113
1500,0.02346726693212986,0.9776286353467561,0.9842342342342343,0.9809203142536477,0.4553333333333333,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",298.04439640045166
2000,0.016414079815149307,0.9886621315192744,0.9819819819819819,0.9853107344632768,0.45,"[50, 75, 100, 120, 140, 160, 180, 200, 250, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 2000]",330.6182961463928
